Source,Target
ferret,Medieval Art
suit,Costume Institute
rubbing,Asian Art
powder flask with tinder box,Arms and Armor
print,Drawings and Prints
drawing,Modern and Contemporary Art
print,Drawings and Prints
suit,Costume Institute
strainer,The American Wing
photograph,Photographs
drawing,Drawings and Prints
brigandine plate,Arms and Armor
dispatch box with cover,Asian Art
print,Drawings and Prints
kylix fragment,Greek and Roman Art
pendant,Egyptian Art
print,Asian Art
pendant,Egyptian Art
frame,Robert Lehman Collection
cut paper,Drawings and Prints
print,Drawings and Prints
inlay,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
painting,Modern and Contemporary Art
book,Drawings and Prints
coin,Ancient Near Eastern Art
textile fragment,Islamic Art
cocktail dress,Costume Institute
bowl,European Sculpture and Decorative Arts
fragment,European Sculpture and Decorative Arts
tumbler,The American Wing
book,Drawings and Prints
papyrus,Medieval Art
fragment,Medieval Art
print,Drawings and Prints
fringe,European Sculpture and Decorative Arts
bowl,The American Wing
print,Drawings and Prints
bowl,Ancient Near Eastern Art
book,The American Wing
scarab,Egyptian Art
book,Drawings and Prints
photograph,Drawings and Prints
dress,Costume Institute
corset,Costume Institute
bowl with cover,European Sculpture and Decorative Arts
kylix fragment,Greek and Roman Art
evening dress,Costume Institute
miquelet rifle,Arms and Armor
reliquary,Asian Art
print,Drawings and Prints
sickle,Ancient Near Eastern Art
watercolor,The American Wing
rug,Asian Art
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
loungewear,Costume Institute
print ornament & architecture,Drawings and Prints
piece,European Sculpture and Decorative Arts
photograph,Photographs
print,Drawings and Prints
garniture,European Sculpture and Decorative Arts
bowl,Islamic Art
folio,Asian Art
kylix fragment,Greek and Roman Art
kylix fragment,Greek and Roman Art
folio,Asian Art
print,Drawings and Prints
snuffbox,European Sculpture and Decorative Arts
foundation deposit plaque,Egyptian Art
insertion,European Sculpture and Decorative Arts
ferret,Medieval Art
print ornament & architecture,Drawings and Prints
fragment,Islamic Art
octave spinet,Musical Instruments
phiale,Greek and Roman Art
print,Drawings and Prints
fragment,Islamic Art
vessel,Asian Art
painting,European Paintings
print,Drawings and Prints
print,Drawings and Prints
afternoon dress,Costume Institute
print,Drawings and Prints
footed urn,Asian Art
photograph,Photographs
stencil,Asian Art
scarab,Egyptian Art
friezes,European Sculpture and Decorative Arts
print,Drawings and Prints
pelike fragment,Greek and Roman Art
print,Drawings and Prints
cup and saucer,The American Wing
drawing,Drawings and Prints
drawing,Drawings and Prints
book,Drawings and Prints
book print ornament & architecture,Drawings and Prints
sampler,European Sculpture and Decorative Arts
baseball card,Drawings and Prints
border,European Sculpture and Decorative Arts
drawing ornament & architecture,Drawings and Prints
print,Drawings and Prints
earring,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
medal,The American Wing
earrings,Ancient Near Eastern Art
drawing,Drawings and Prints
side chair,The American Wing
photographically illustrated book,Photographs
print,Drawings and Prints
vessel with lid,"Arts of Africa, Oceania, and the Americas"
painting,Modern and Contemporary Art
print,Drawings and Prints
sutra cover,Asian Art
baseball card,Drawings and Prints
bag,Asian Art
as of nero,Greek and Roman Art
drawing,Modern and Contemporary Art
saucer,European Sculpture and Decorative Arts
flap of a bookbinding,Islamic Art
bottle,Asian Art
illustrated book,Asian Art
photograph,Photographs
possibly a palette,Islamic Art
evening ensemble,Costume Institute
print,Drawings and Prints
goblet,Ancient Near Eastern Art
drawings,Drawings and Prints
ornament & architecture,Drawings and Prints
hat,Costume Institute
print,Drawings and Prints
drawing,Modern and Contemporary Art
print,Drawings and Prints
lid fragment,Greek and Roman Art
footed dish,European Sculpture and Decorative Arts
cup,Asian Art
kylix fragment,Greek and Roman Art
cornetto in c,Musical Instruments
bowl with spout and flanges,Greek and Roman Art
kylix fragment,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
kylix fragments,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
sillabub glass,The American Wing
skyphos fragment,Greek and Roman Art
vase fragment,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
tally stone,Egyptian Art
jewelry set,Costume Institute
basket,The American Wing
print,Drawings and Prints
print,Drawings and Prints
kylix fragment,Greek and Roman Art
bark painting,"Arts of Africa, Oceania, and the Americas"
evening pumps,Costume Institute
fragment,Asian Art
mantua,Costume Institute
book,Drawings and Prints
dress,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
photograph,Photographs
scepter head,Greek and Roman Art
negative,Photographs
plate,Islamic Art
drawing,Drawings and Prints
print,Drawings and Prints
negative,Photographs
book,Drawings and Prints
plate and nail,The Cloisters
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
piece,European Sculpture and Decorative Arts
afternoon dress,Costume Institute
frieze,European Sculpture and Decorative Arts
skyphos fragment,Greek and Roman Art
album,Drawings and Prints
knife fragment,"Arts of Africa, Oceania, and the Americas"
chess set,European Sculpture and Decorative Arts
stamp seal,Ancient Near Eastern Art
evening dress,Costume Institute
photograph,Drawings and Prints
print,Modern and Contemporary Art
tuba in e-flat,Musical Instruments
evening dress,Costume Institute
print,Drawings and Prints
cover,Islamic Art
chariot yoke ornament,Asian Art
print,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
trade card,Drawings and Prints
print,Drawings and Prints
drawings,Drawings and Prints
ornament & architecture,Drawings and Prints
photograph,Photographs
print baseball card,Drawings and Prints
drawing,Drawings and Prints
pendant,Ancient Near Eastern Art
figure,European Sculpture and Decorative Arts
photograph,Drawings and Prints
seal,Asian Art
print,Drawings and Prints
book,Drawings and Prints
amulet,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
baseball card,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
panel,European Sculpture and Decorative Arts
hat,Costume Institute
print,Drawings and Prints
folding fan mounted as an album leaf,Asian Art
lekythos fragment,Greek and Roman Art
print,Drawings and Prints
photograph,Photographs
mirror with head of a woman,Greek and Roman Art
saucer,The American Wing
photograph,Drawings and Prints
pilgrim's badge,Medieval Art
jar label,Egyptian Art
dress,Costume Institute
print,Drawings and Prints
evening ensemble,Costume Institute
negative,Photographs
hanging scroll,Asian Art
sarcophagus fragment,Greek and Roman Art
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
book,Drawings and Prints
piece,Asian Art
print,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
print,Drawings and Prints
plaque,European Sculpture and Decorative Arts
painting,The American Wing
negative,Photographs
cocktail dress,Costume Institute
fan mounted as an album leaf,Asian Art
drawing,Drawings and Prints
bottle,Greek and Roman Art
fragment,Medieval Art
comb,Costume Institute
sample and letter,European Sculpture and Decorative Arts
wall brackets,European Sculpture and Decorative Arts
negative,Photographs
photograph,Photographs
"sculptor's model/votive (?), relief plaque with royal titulary",Egyptian Art
nebty incomplete,Egyptian Art
necklace,European Sculpture and Decorative Arts
hanging scroll,Asian Art
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
snuff bottle with stopper,Asian Art
negative,Photographs
bowl,Ancient Near Eastern Art
print,Drawings and Prints
book,Drawings and Prints
sestertius,Greek and Roman Art
ring,Asian Art
scarab,Egyptian Art
askos in the form of an animal,Greek and Roman Art
skirt (hakamé),Arms and Armor
print,Drawings and Prints
photograph,Drawings and Prints
evening trousers,Costume Institute
decanter,The American Wing
skyphos fragment,Greek and Roman Art
print,Drawings and Prints
medal,European Sculpture and Decorative Arts
print ornament & architecture,Drawings and Prints
shabti,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
fragment,European Sculpture and Decorative Arts
plate,European Sculpture and Decorative Arts
coin,Islamic Art
baseball card,Drawings and Prints
drawing,Drawings and Prints
book,Drawings and Prints
ornament & architecture,Drawings and Prints
sculpture,The American Wing
print,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
drawing,Drawings and Prints
polaroid,Photographs
statuette of poseidon,Greek and Roman Art
baseball card,Drawings and Prints
print,Drawings and Prints
jamb hook,The American Wing
print,Drawings and Prints
print,Drawings and Prints
column-krater fragment,Greek and Roman Art
print,Drawings and Prints
riding habit,Costume Institute
photograph,Photographs
pin,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
evening dress,Costume Institute
fan,Costume Institute
collection ornament & architecture,Drawings and Prints
piece,Asian Art
chous fragment,Greek and Roman Art
painting,The American Wing
seal stamp,Islamic Art
photograph,Photographs
vase,Asian Art
mouth plate,Greek and Roman Art
undersleeves,Costume Institute
painting,European Paintings
valentine,Drawings and Prints
print,Drawings and Prints
stirrups,Arms and Armor
drawing,Drawings and Prints
illustrated single work,Islamic Art
tool,Egyptian Art
shawl,Costume Institute
knife handle (kozuka),Arms and Armor
print,Drawings and Prints
armband,Medieval Art
books prints ornament & architecture,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
piece,Asian Art
trade card,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
negative,Photographs
print,Drawings and Prints
frame,Robert Lehman Collection
photograph,Photographs
scarab,Egyptian Art
hat,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
woodblock print,Asian Art
drawing,Drawings and Prints
painting,The American Wing
tumbler,European Sculpture and Decorative Arts
brooch,Medieval Art
statue,European Sculpture and Decorative Arts
contact sheet,Photographs
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
drawing ornament & architecture,Drawings and Prints
ewer,Islamic Art
kylix fragment,Greek and Roman Art
print,Drawings and Prints
square,European Sculpture and Decorative Arts
figure,Asian Art
print,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
pendant,Egyptian Art
books,Drawings and Prints
prints,Drawings and Prints
ornament & architecture,Drawings and Prints
photograph,Photographs
baseball card,Drawings and Prints
painting,"Arts of Africa, Oceania, and the Americas"
books prints ornament & architecture,Drawings and Prints
book,Drawings and Prints
photograph,Drawings and Prints
drawing print ornament & architecture,Drawings and Prints
dish,European Sculpture and Decorative Arts
print,Drawings and Prints
stamp seal,Ancient Near Eastern Art
book,Drawings and Prints
print,Drawings and Prints
piece,Asian Art
coat,Islamic Art
print,Drawings and Prints
print,Drawings and Prints
fragment,European Sculpture and Decorative Arts
ring,Costume Institute
jacket,Costume Institute
print,Drawings and Prints
fibula,Islamic Art
print,Asian Art
baseball card,Drawings and Prints
vessel,Asian Art
krater fragment,Greek and Roman Art
textile fragment,Islamic Art
book,Drawings and Prints
sculpture,The American Wing
print,Drawings and Prints
earring,Egyptian Art
teapot,European Sculpture and Decorative Arts
print,Drawings and Prints
vase,Asian Art
border,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
carte-de-visite,Photographs
print,Drawings and Prints
print,Drawings and Prints
sealing,Ancient Near Eastern Art
kylix fragment,Greek and Roman Art
sample,Asian Art
jamb hook,The American Wing
evening sandals,Costume Institute
print,Drawings and Prints
vase,Asian Art
medal,European Sculpture and Decorative Arts
illustrated book,Asian Art
print,Drawings and Prints
flounce,European Sculpture and Decorative Arts
piece,European Sculpture and Decorative Arts
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
scarab,Egyptian Art
talatat,Egyptian Art
print,Drawings and Prints
ephemera,Drawings and Prints
print,Drawings and Prints
painting,The American Wing
print,Asian Art
border,European Sculpture and Decorative Arts
drawing,Drawings and Prints
tool,Egyptian Art
print,Drawings and Prints
suit,Costume Institute
watercolor,The American Wing
ritual stone,"Arts of Africa, Oceania, and the Americas"
print collection ornament & architecture,Drawings and Prints
dress,Costume Institute
rosette,Egyptian Art
necklace with garnet pendant,Greek and Roman Art
vase fragment,Greek and Roman Art
print,Drawings and Prints
drawing,Drawings and Prints
book,Drawings and Prints
painting,The American Wing
chess board,Asian Art
lamp,Modern and Contemporary Art
neck-amphora fragment,Greek and Roman Art
photograph,Photographs
print,Drawings and Prints
strip,European Sculpture and Decorative Arts
book,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
sculpture,The American Wing
prints,Drawings and Prints
print,Drawings and Prints
kylix fragment,Greek and Roman Art
book print ornament & architecture,Drawings and Prints
kylix fragment,Greek and Roman Art
album card,Drawings and Prints
print,Drawings and Prints
flask,Greek and Roman Art
print,Drawings and Prints
facsimile,Drawings and Prints
pendant,Asian Art
snuffbox,European Sculpture and Decorative Arts
drawing ornament & architecture,Drawings and Prints
folding fan mounted as an album leaf,Asian Art
coin,Egyptian Art
drawing,Drawings and Prints
intaglio in ring,Greek and Roman Art
piece,Asian Art
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
kylix fragment,Greek and Roman Art
bottle,Greek and Roman Art
scarab,Egyptian Art
ornament,Egyptian Art
drawing,Drawings and Prints
print,Drawings and Prints
bronze,Greek and Roman Art
print,Drawings and Prints
baseball card,Drawings and Prints
print,Drawings and Prints
photograph,Drawings and Prints
cup,Greek and Roman Art
drawing,Drawings and Prints
parasol,Costume Institute
fragment,Islamic Art
print,Drawings and Prints
evening ensemble,Costume Institute
business card,The American Wing
hat,Costume Institute
print,Drawings and Prints
drawing ornament & architecture,Drawings and Prints
print,Drawings and Prints
baseball,Drawings and Prints
scarab,Greek and Roman Art
print,Asian Art
books,Photographs
photograph,Photographs
print,Drawings and Prints
undetermined closed shape,Greek and Roman Art
kylix fragment,Greek and Roman Art
photograph,Photographs
evening dress,Costume Institute
wineglass,European Sculpture and Decorative Arts
coat,Costume Institute
print,Drawings and Prints
drawing,Modern and Contemporary Art
cup and saucer,Asian Art
carte-de-visite,Photographs
kylix fragment,Greek and Roman Art
jar,Egyptian Art
print,Drawings and Prints
stamp seal,Ancient Near Eastern Art
rank badge,Asian Art
mask,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
hat,Costume Institute
photograph,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
panel ornament,European Sculpture and Decorative Arts
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
photograph,Drawings and Prints
spirit board,"Arts of Africa, Oceania, and the Americas"
fragment,European Sculpture and Decorative Arts
medal,European Sculpture and Decorative Arts
head,Asian Art
cylinder seal,Egyptian Art
piece,European Sculpture and Decorative Arts
hat,"Arts of Africa, Oceania, and the Americas"
dinner dress,Costume Institute
print,Drawings and Prints
ephemera,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
ornament & architecture,Drawings and Prints
pot,Medieval Art
sleeve band,Asian Art
drawing,The American Wing
painting,The American Wing
print,Drawings and Prints
sample,European Sculpture and Decorative Arts
photograph,Photographs
print ornament & architecture,Drawings and Prints
photograph,Drawings and Prints
amulet,Ancient Near Eastern Art
baseball card,Drawings and Prints
fragment,European Sculpture and Decorative Arts
album,Photographs
ensemble,Costume Institute
arrowhead,Ancient Near Eastern Art
books prints ornament & architecture,Drawings and Prints
medallion,European Sculpture and Decorative Arts
print,Drawings and Prints
fragment,Arms and Armor
statuette,Medieval Art
print,Drawings and Prints
house post,"Arts of Africa, Oceania, and the Americas"
photograph,Photographs
print,Drawings and Prints
print,Drawings and Prints
gloves,Costume Institute
ceremonial blade,Asian Art
amulet,Egyptian Art
piece,European Sculpture and Decorative Arts
platter,European Sculpture and Decorative Arts
print,Drawings and Prints
photograph,Photographs
donkey pack holder,Egyptian Art
jar,Ancient Near Eastern Art
print,Drawings and Prints
english horn,Musical Instruments
print,Drawings and Prints
string of  cylinder beads,Egyptian Art
book,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
sculpture,Ancient Near Eastern Art
drawing,The American Wing
staircase,The American Wing
button,Costume Institute
piece,European Sculpture and Decorative Arts
shoes,Costume Institute
book,Drawings and Prints
photograph,Drawings and Prints
commode,European Sculpture and Decorative Arts
baseball card,Drawings and Prints
print,Asian Art
stove plate,The American Wing
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
piece,Asian Art
print,Drawings and Prints
bottle,"Arts of Africa, Oceania, and the Americas"
fragment,Islamic Art
photograph,Photographs
bowl,Modern and Contemporary Art
print,Drawings and Prints
drawing,Modern and Contemporary Art
panel,Asian Art
print,Drawings and Prints
ephemera,Drawings and Prints
scarab,Egyptian Art
vase fragment,Greek and Roman Art
calyx-krater,Greek and Roman Art
drawing,Drawings and Prints
javelin,Egyptian Art
mirror support with man with horses on shoulders,Greek and Roman Art
kylix fragment,Greek and Roman Art
painting,European Paintings
medal,European Sculpture and Decorative Arts
tapestry,The American Wing
print,Drawings and Prints
plaquette,European Sculpture and Decorative Arts
statue,European Sculpture and Decorative Arts
bowl,Asian Art
relief fragment with animals,Greek and Roman Art
print,Drawings and Prints
photograph,Photographs
he-ha-kha-zo-zo,Musical Instruments
sleeve band,Asian Art
hat,"Arts of Africa, Oceania, and the Americas"
painting,The American Wing
book,Drawings and Prints
candlestick,The American Wing
fringe,European Sculpture and Decorative Arts
button,Costume Institute
hair accessory,Costume Institute
mordant,Arms and Armor
souvenir,European Sculpture and Decorative Arts
lamp,Islamic Art
bowl,Asian Art
perfume bottle,Greek and Roman Art
messenger badge,Arms and Armor
sword guard (tsuba),Arms and Armor
drawing,The American Wing
bead,Egyptian Art
stereographs,Photographs
head of a girl,Greek and Roman Art
print baseball card,Drawings and Prints
handle of a large dish,Greek and Roman Art
suit,Costume Institute
print,Drawings and Prints
negative,Photographs
print,Drawings and Prints
knife (kard) with sheath,Arms and Armor
book,Drawings and Prints
coin,Islamic Art
drawing,Modern and Contemporary Art
scarab,Egyptian Art
photograph,Photographs
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
kylix fragment,Greek and Roman Art
hat,Costume Institute
vase fragment,Greek and Roman Art
sculpture,Modern and Contemporary Art
knife handle (kozuka),Arms and Armor
head,"Arts of Africa, Oceania, and the Americas"
wrapper,"Arts of Africa, Oceania, and the Americas"
photograph,Photographs
covered jar,Asian Art
painting,European Paintings
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
book,Drawings and Prints
amphora fragment,Greek and Roman Art
folding compass dial,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
cameo,Greek and Roman Art
drawing,The American Wing
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
fan,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
wine cup,Asian Art
print,Drawings and Prints
scarab,Egyptian Art
cut paper,Drawings and Prints
cup,Greek and Roman Art
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
painting,European Paintings
photograph,Photographs
key,Medieval Art
corset,Costume Institute
model spear,Egyptian Art
apron,Costume Institute
kris,Arms and Armor
dish,Asian Art
book print ornament & architecture,Drawings and Prints
shelf clock,The American Wing
fragment,Islamic Art
fibula,Greek and Roman Art
book,Drawings and Prints
print,Drawings and Prints
wineglass,European Sculpture and Decorative Arts
grinding stone,Egyptian Art
woodblock print,Asian Art
watercolor of musician playing laba,Musical Instruments
drawing,Drawings and Prints
amphora fragment,Greek and Roman Art
shaffron (horse's head defense),Arms and Armor
kylix fragment,Greek and Roman Art
drawing,Drawings and Prints
negative,Photographs
bowl fragment,Greek and Roman Art
aquamanile,Medieval Art
statuette group,European Sculpture and Decorative Arts
wrap skirt,Costume Institute
print,Drawings and Prints
decorative paper,Drawings and Prints
photograph,Photographs
drawing,Drawings and Prints
andiron,The American Wing
whistle,Musical Instruments
boxing,Drawings and Prints
print,Drawings and Prints
poster,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
photograph,Photographs
hinge,The American Wing
binding,Drawings and Prints
fountain,Asian Art
drawing,The American Wing
book,Drawings and Prints
print,Asian Art
print,Drawings and Prints
earring,Ancient Near Eastern Art
photograph,Drawings and Prints
headdress,"Arts of Africa, Oceania, and the Americas"
painting,The American Wing
painting,The American Wing
photograph,Drawings and Prints
print,Asian Art
spur,Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
photograph,Drawings and Prints
print,Drawings and Prints
chatelaine,Costume Institute
print,Drawings and Prints
capital,Islamic Art
photograph,Drawings and Prints
mannequin,Costume Institute
worker shabti,Egyptian Art
kylix fragment,Greek and Roman Art
photograph,Photographs
bowl,European Sculpture and Decorative Arts
pochette,Musical Instruments
dagger (khanjar) with sheath,Arms and Armor
stirrups,Arms and Armor
sign,The American Wing
print,Drawings and Prints
painting,The American Wing
print,Drawings and Prints
tea caddy,European Sculpture and Decorative Arts
mugshot,Photographs
ear clip,Asian Art
photograph,Photographs
piece,Asian Art
carte-de-visite,Photographs
basket,Asian Art
stereographs,Photographs
dress,Costume Institute
book,Drawings and Prints
print,Drawings and Prints
flounce,European Sculpture and Decorative Arts
fragment of hilt,Asian Art
print,Drawings and Prints
sealing,Ancient Near Eastern Art
piece,European Sculpture and Decorative Arts
mugshot,Photographs
perfume bottle,Greek and Roman Art
books prints ornament & architecture,Drawings and Prints
intaglio,Greek and Roman Art
drawing,Drawings and Prints
illustrated manuscript,Islamic Art
baseball card,Drawings and Prints
fragment,Islamic Art
dish,Ancient Near Eastern Art
kylix fragments,Greek and Roman Art
drawing,Drawings and Prints
photograph,Photographs
polaroid,Photographs
beads,Egyptian Art
print,Drawings and Prints
inkwell,Robert Lehman Collection
print,Drawings and Prints
earrings,Costume Institute
watch cock,European Sculpture and Decorative Arts
leisure suit,Costume Institute
dinner dress,Costume Institute
drawing,Drawings and Prints
photograph,Drawings and Prints
print collection ornament & architecture,Drawings and Prints
woodblock print,Asian Art
coat,Costume Institute
coin,Islamic Art
bowl,Asian Art
drawing,Drawings and Prints
jacket,Costume Institute
drawing ornament & architecture,Drawings and Prints
jar,Asian Art
dish,European Sculpture and Decorative Arts
jar,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
snood,Costume Institute
carpet,European Sculpture and Decorative Arts
barrel,European Sculpture and Decorative Arts
carriage boots,Costume Institute
drawing,Drawings and Prints
kylix,Greek and Roman Art
head of a woman,Greek and Roman Art
vase,Asian Art
print,Drawings and Prints
spoon,"Arts of Africa, Oceania, and the Americas"
drawing,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
piece,European Sculpture and Decorative Arts
obi sash,Asian Art
wave bowl,European Sculpture and Decorative Arts
handscroll,Asian Art
baseball card,Drawings and Prints
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
robe à la polonaise,Costume Institute
book,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
textile fragment,Islamic Art
postcard,Photographs
knife handle (kozuka),Arms and Armor
book,Drawings and Prints
daguerreotype,Photographs
milk jug,European Sculpture and Decorative Arts
print,Drawings and Prints
tile,"Arts of Africa, Oceania, and the Americas"
fragment,The American Wing
print,Drawings and Prints
kylix fragment,Greek and Roman Art
drawing,Drawings and Prints
textile fragment,Islamic Art
print,Drawings and Prints
drawing,Drawings and Prints
case,Asian Art
photograph,Drawings and Prints
print,Drawings and Prints
dress,Costume Institute
tea table,The American Wing
helmet,Arms and Armor
scarab,Egyptian Art
spoon,The American Wing
shoes,Costume Institute
album drawing ornament & architecture,Drawings and Prints
photograph,Drawings and Prints
drawing ornament & architecture,Drawings and Prints
scarab,Egyptian Art
print,Drawings and Prints
bowl,"Arts of Africa, Oceania, and the Americas"
bottle vase,Asian Art
bracelet,Egyptian Art
drawing,Modern and Contemporary Art
cream jug,European Sculpture and Decorative Arts
sampler,European Sculpture and Decorative Arts
skirt,Costume Institute
bead,Islamic Art
drawings ornament & architecture,Drawings and Prints
wine container,Asian Art
photograph,Photographs
textile fragment,Islamic Art
painting,European Paintings
photographically illustrated book,Photographs
print,Drawings and Prints
bottle vase,Asian Art
vessel,Asian Art
painting,Modern and Contemporary Art
shawl,Costume Institute
amulet,Egyptian Art
print,Drawings and Prints
drawing,Drawings and Prints
print,Asian Art
fragment,Medieval Art
book,Drawings and Prints
print,Drawings and Prints
ladle,The American Wing
print,Drawings and Prints
key,Medieval Art
broad collar terminal,Egyptian Art
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
textile sample,Modern and Contemporary Art
carte-de-visite,Photographs
sword,Arms and Armor
beaker,European Sculpture and Decorative Arts
print,Drawings and Prints
statue of a bound goat,Greek and Roman Art
statuette,Egyptian Art
drawing,Modern and Contemporary Art
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
drawing,Drawings and Prints
drawing,Drawings and Prints
cocktail ensemble,Costume Institute
photograph,Drawings and Prints
plateau,European Sculpture and Decorative Arts
print,Drawings and Prints
shirt,Costume Institute
photograph,Photographs
print,Drawings and Prints
illustrated  album leaf,Islamic Art
tar,Musical Instruments
print,Drawings and Prints
print,Drawings and Prints
medal,The American Wing
photograph,Photographs
print,Drawings and Prints
book,Drawings and Prints
drawing,Drawings and Prints
drawing,Drawings and Prints
book print ornament & architecture,Drawings and Prints
book,Drawings and Prints
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
drawings,Drawings and Prints
ornament & architecture,Drawings and Prints
print,Drawings and Prints
photograph,Drawings and Prints
negative,Photographs
plate,European Sculpture and Decorative Arts
stela,Egyptian Art
sealing,Egyptian Art
print,Drawings and Prints
sample book,European Sculpture and Decorative Arts
suit,Costume Institute
print,Drawings and Prints
stamp seal,Ancient Near Eastern Art
drawing,Drawings and Prints
box,Asian Art
photograph,Drawings and Prints
drawing,Modern and Contemporary Art
wedding dress,Costume Institute
print,Drawings and Prints
dagger (dha or dah hmyaung),Arms and Armor
negative,Photographs
